排名,球员,球队,场次,得分,二分,三分,罚球,篮板,前篮板,后篮板,助攻,抢断,扣篮,盖帽,失误,犯规,效率
1,琼斯,吉林,20,38.0,10.1-17.6,2.7-9.3,9.8-12.1,8.0,2.1,6.0,8.5,1.7,0.2,0.5,3.5,3.9,36.85
2,布莱克尼,江苏,4,36.3,9.8-18.3,3.3-7.0,7.0-9.8,6.5,0.5,6.0,3.3,1.5,1.3,1.0,4.3,2.0,29.25
3,亚当斯,青岛,20,36.2,8.1-13.7,4.0-12.0,8.1-9.2,8.3,0.9,7.4,5.7,2.7,0.1,0.3,4.1,2.3,34.15
4,德兹明-威尔斯,广厦,3,35.3,12.0-18.7,2.3-4.7,4.3-6.7,8.7,0.0,8.7,5.7,3.0,0.7,1.0,5.3,3.3,37.00
5,约瑟夫-杨,同曦,22,34.8,9.3-15.8,3.4-8.5,6.0-6.8,4.5,0.6,3.8,6.8,1.8,0.8,0.0,3.8,1.4,31.73
6,汉斯布鲁,四川,7,33.1,10.0-18.3,0.3-1.4,12.3-14.0,13.7,4.9,8.9,0.9,2.3,2.1,0.7,1.7,3.3,37.86
7,吉布森,江苏,14,30.9,4.4-9.9,4.3-9.9,9.1-10.6,5.1,0.9,4.2,4.3,1.2,0.0,0.1,2.9,3.2,26.21
8,福特森,四川,20,29.6,6.6-12.6,2.5-7.0,9.0-12.0,5.4,1.5,4.0,7.6,1.7,0.0,0.0,3.6,3.8,27.20
9,富兰克林,山西,19,29.1,6.1-10.7,2.8-8.1,8.3-9.9,8.9,1.6,7.3,10.2,2.5,0.4,1.6,3.7,2.8,37.05
10,哈德森,山东,21,28.6,4.6-8.1,4.9-12.1,4.8-5.3,8.0,1.2,6.8,8.0,2.0,0.0,0.4,4.1,3.1,31.33
11,凯弗-赛克斯,广州,15,28.2,8.3-15.3,2.1-6.5,5.1-5.7,5.3,1.3,4.1,6.1,1.5,0.5,0.1,2.5,2.1,26.87
12,布鲁克斯,广东,20,28.0,7.2-11.1,3.5-8.1,3.2-3.9,6.3,1.4,4.9,5.7,2.0,0.7,0.5,3.1,1.8,30.05
13,泰-劳森,福建,18,27.6,6.9-12.7,1.9-4.4,8.2-9.9,5.1,1.1,4.0,7.4,1.9,0.0,0.2,2.6,2.7,29.50
14,邓蒙,浙江,21,27.4,4.9-9.9,4.0-9.8,5.6-6.8,4.7,0.9,3.8,6.7,1.6,0.0,0.1,2.6,2.1,25.95
15,弗格,北控,21,26.9,4.9-8.6,2.7-6.3,9.2-10.9,7.1,0.9,6.2,6.6,2.2,0.0,0.3,3.1,3.1,30.95
16,尼克尔森,广州,18,26.8,6.5-11.7,3.1-6.2,4.7-5.9,10.3,2.7,7.7,1.2,0.6,0.7,0.7,2.2,2.3,27.83
17,查森-兰德尔,天津,16,25.8,5.3-11.5,3.1-8.3,6.1-7.0,3.3,0.4,2.9,4.3,1.9,0.1,0.3,3.9,3.2,19.13
18,兰兹博格,浙江,21,24.9,5.5-10.7,2.3-6.4,7.1-8.5,7.7,1.9,5.8,2.5,1.1,0.4,0.2,1.6,1.8,24.10
19,林书豪,北京,21,24.9,6.2-12.1,1.5-3.8,8.0-9.5,6.0,1.0,5.0,5.7,2.0,0.0,0.2,3.6,3.8,25.43
20,史蒂芬森,辽宁,21,24.8,7.5-12.2,1.6-5.4,4.9-6.5,7.2,1.1,6.1,4.1,1.0,0.5,0.2,2.9,3.2,24.48
21,王哲林,福建,20,23.8,8.7-14.9,0.6-2.4,4.7-7.7,11.0,3.2,7.8,2.2,1.1,1.8,1.0,2.2,2.7,25.75
22,穆罕默德,深圳,10,23.5,6.5-10.8,1.3-3.1,6.6-8.7,9.3,2.1,7.2,1.5,0.8,1.6,0.5,1.3,2.4,26.10
23,约翰逊,青岛,20,23.3,8.6-13.0,0.0-0.2,6.1-9.2,14.9,5.3,9.6,3.1,0.9,1.1,1.6,2.3,3.9,33.80
24,皮埃尔-杰克逊,深圳,2,23.0,1.5-5.0,4.0-9.5,8.0-8.5,3.5,0.5,3.0,6.0,2.0,0.0,0.0,3.0,2.0,22.00
25,拉杜利察,江苏,21,23.0,7.2-12.6,0.9-2.4,6.0-7.6,9.7,2.2,7.4,2.4,1.2,0.9,0.9,3.0,3.5,25.62
26,莫泰尤纳斯,上海,21,23.0,8.9-15.1,0.9-2.9,2.7-5.8,15.1,3.1,12.0,3.7,1.8,0.5,0.3,3.5,2.4,28.90
27,亨特,广州,10,22.7,6.4-11.9,1.3-4.8,6.0-8.3,5.6,1.4,4.2,3.3,2.2,0.2,0.4,2.0,3.1,20.90
28,周琦,新疆,20,22.5,7.1-10.8,1.5-4.5,4.0-6.3,12.4,3.6,8.8,2.0,1.2,2.4,2.8,2.2,3.4,29.55
29,鲍勒斯,吉林,2,22.5,8.0-12.5,0.5-1.5,5.0-8.0,8.0,2.5,5.5,7.0,0.5,1.5,0.0,3.5,3.5,26.00
30,普-杰特,福建,3,22.3,2.7-4.3,4.3-8.0,4.0-4.3,4.7,0.3,4.3,8.3,1.0,0.0,0.0,1.0,2.3,29.67
31,纳纳利,上海,12,22.3,5.0-10.3,2.6-5.2,4.6-5.4,5.5,1.4,4.1,3.3,1.2,0.2,0.1,1.5,1.4,22.17
32,雷-麦卡勒姆,上海,9,21.8,6.2-13.8,1.4-4.8,5.0-6.8,3.2,0.6,2.7,6.3,1.1,0.1,0.0,1.6,2.1,18.22
33,斯托克斯,新疆,11,21.7,8.3-12.6,0.5-1.8,3.8-5.2,12.4,3.1,9.3,2.4,0.7,0.6,1.2,2.4,3.4,28.91
34,威姆斯,广东,21,21.5,7.8-14.2,0.8-2.6,3.6-4.4,6.4,1.0,5.4,5.8,1.5,0.6,0.3,3.4,2.3,23.00
35,埃里克-格林,福建,4,21.3,5.3-8.8,2.8-7.3,2.5-3.0,5.8,1.3,4.5,3.5,1.3,0.0,0.0,1.0,1.3,22.25
36,巴斯,辽宁,21,21.1,8.1-13.4,0.0-0.0,4.7-6.0,8.5,2.2,6.3,1.9,1.1,2.5,0.9,2.0,2.0,25.05
37,德怀特-拜克斯,深圳,18,20.8,6.3-12.0,1.5-4.2,3.6-4.4,5.1,1.2,3.9,7.0,2.6,0.0,0.3,3.6,2.5,23.00
38,汉密尔顿,北京,12,20.7,7.6-13.0,0.3-2.0,4.5-5.0,11.0,3.3,7.7,2.3,0.9,1.7,1.7,1.4,2.0,27.50
39,尤度,北京,10,20.6,8.9-13.7,0.0-0.2,2.8-4.4,12.1,3.4,8.7,1.9,1.9,2.9,4.8,1.8,3.1,32.90
40,易建联,广东,21,20.4,6.0-10.5,1.1-3.2,5.1-6.3,11.1,3.0,8.1,1.3,1.5,2.3,1.6,1.1,2.2,27.05
41,马尔科-托多罗维奇,天津,16,20.1,6.6-11.2,0.5-1.4,5.4-7.4,12.4,3.1,9.3,3.4,1.8,0.1,0.9,4.3,3.6,26.88
42,埃里克-米卡,新疆,7,19.9,7.9-14.0,0.0-0.0,4.1-7.3,11.7,5.7,6.0,1.6,1.4,2.1,0.6,1.9,3.1,24.00
43,阿玛尔-斯塔德迈尔,福建,11,19.4,7.2-13.8,0.2-0.5,4.5-5.6,8.3,2.4,5.9,0.9,0.7,1.0,1.2,2.5,3.3,19.73
44,郭艾伦,辽宁,21,19.3,5.3-9.1,1.5-4.9,4.1-5.5,3.4,0.5,2.9,5.0,1.5,0.1,0.0,2.3,3.4,18.48
45,陈林坚,福建,21,19.0,3.4-6.0,3.3-7.6,2.2-2.7,3.4,0.9,2.5,1.8,1.1,0.1,0.1,1.7,2.5,16.43
46,凯-费尔德,新疆,17,18.8,4.4-9.5,1.9-4.7,4.2-4.8,5.2,0.6,4.6,8.5,1.9,0.1,0.3,3.0,3.4,23.29
47,时德帅,天津,22,17.5,4.5-8.0,1.7-4.0,3.3-4.2,7.0,2.5,4.5,1.5,1.7,0.1,0.4,2.1,3.1,19.32
48,法里德,广厦,7,17.3,6.6-13.0,0.7-2.1,2.0-4.1,10.0,3.3,6.7,1.3,1.3,1.3,2.4,2.0,3.3,20.29
49,阿不都沙拉木,新疆,20,16.8,4.5-7.6,1.6-4.8,3.2-4.2,5.0,1.5,3.6,2.6,1.0,0.1,0.2,1.4,2.2,16.85
50,付豪,八一,22,16.6,6.5-13.5,0.0-0.1,3.6-4.7,9.6,3.9,5.7,0.5,0.4,0.1,0.4,1.2,3.0,18.05
51,亚布塞莱,同曦,12,16.6,4.3-7.8,1.7-5.1,2.9-4.0,6.1,1.4,4.7,1.4,1.0,0.8,1.1,1.9,2.3,16.25
52,托马斯-罗宾逊,四川,11,16.5,6.5-12.4,0.0-0.4,3.5-5.5,12.0,4.6,7.4,1.1,1.4,1.6,0.9,1.9,3.3,21.82
53,詹姆斯-梅斯,山东,22,16.5,6.0-10.3,0.2-1.0,3.8-5.7,10.7,4.1,6.6,1.6,1.7,0.7,1.0,2.0,2.9,22.64
54,原帅,山西,20,16.4,2.0-3.2,3.8-8.0,1.1-1.4,1.9,0.3,1.6,1.7,0.6,0.0,0.1,0.8,1.9,14.10
55,霍尔曼,吉林,22,16.3,6.9-11.0,0.0-0.0,2.6-3.0,10.5,3.4,7.1,0.9,1.0,1.8,1.2,1.5,3.2,23.77
56,桑尼,北控,19,16.2,5.9-11.2,0.1-1.1,4.1-4.8,9.7,3.2,6.5,1.5,1.1,0.2,0.3,1.8,2.7,20.00
57,吴前,浙江,21,16.1,2.2-5.0,2.9-6.9,3.1-3.6,3.5,1.0,2.6,4.1,2.0,0.0,0.1,2.0,3.4,16.62
58,雅克查理,同曦,10,16.1,3.3-5.7,2.5-7.1,2.0-2.9,5.6,1.1,4.5,3.4,1.5,0.0,0.2,0.7,1.9,18.20
59,艾伦-杰克逊,广厦,15,16.0,4.9-9.4,0.7-2.9,4.1-4.8,3.4,0.7,2.7,10.1,1.5,0.0,0.1,2.7,2.0,20.87
60,胡金秋,广厦,22,16.0,6.5-10.4,0.3-0.8,2.1-2.7,8.1,3.0,5.1,0.6,0.9,0.5,1.1,0.9,2.1,20.73
61,翟晓川,北京,20,15.7,4.2-6.7,1.1-3.8,4.0-4.6,6.1,1.2,5.0,2.6,1.2,0.2,0.5,1.7,3.2,18.65
62,M.I.托马斯,山西,3,15.7,5.0-8.0,0.7-2.7,3.7-6.0,13.0,3.0,10.0,3.3,0.7,2.3,1.0,2.0,3.0,24.33
63,康宁汉姆,福建,6,15.0,6.0-10.0,0.8-2.3,0.5-0.5,8.7,2.5,6.2,0.8,1.0,0.7,1.2,1.0,3.2,20.17
64,韩德君,辽宁,20,15.0,5.4-8.9,0.0-0.1,4.2-5.6,10.4,2.9,7.5,1.7,0.4,0.6,0.8,1.6,3.1,21.70
65,雷蒙,八一,19,14.4,3.6-7.4,1.6-5.3,2.3-2.9,4.9,1.5,3.4,2.3,1.5,0.0,0.1,1.5,2.4,13.63
66,任骏威,山西,20,14.3,3.2-6.2,1.9-3.9,2.3-2.8,4.9,1.3,3.6,2.2,0.7,0.1,0.2,1.4,1.9,15.45
67,贾雷尔-马丁,深圳,10,14.3,4.0-8.6,1.4-4.9,2.1-2.4,7.6,1.3,6.3,2.0,1.1,0.8,0.9,2.1,3.2,15.40
68,埃里克-莫兰德,山西,16,14.1,6.3-10.0,0.0-0.1,1.5-3.8,15.7,4.0,11.7,1.9,1.6,1.9,1.9,2.1,3.0,27.13
69,贾森-汤普森,北控,22,14.0,6.0-10.2,0.0-0.3,2.0-3.2,11.0,2.9,8.1,1.4,1.1,0.7,0.5,1.7,3.7,20.59
70,杰伦-雷诺兹,广厦,5,13.8,5.8-12.8,0.0-0.0,2.2-2.2,10.0,3.2,6.8,2.2,2.2,2.0,0.2,2.0,3.2,19.40
71,赵岩昊,广厦,18,13.7,1.7-3.9,2.7-6.7,2.2-2.6,2.6,0.7,1.9,2.1,2.3,0.1,0.2,1.4,2.9,12.83
72,陶汉林,山东,22,13.5,5.3-8.7,0.0-0.0,2.9-4.4,6.5,2.0,4.5,1.1,0.7,2.1,1.1,1.0,3.7,16.91
73,孙铭徽,广厦,17,13.3,3.8-7.2,1.2-3.8,2.1-3.1,3.2,0.9,2.2,5.0,1.9,0.2,0.1,3.2,2.8,13.35
74,崔晋铭,吉林,22,13.3,4.2-8.0,0.8-2.9,2.4-3.3,3.9,0.9,3.0,2.7,0.8,0.0,0.2,1.7,2.5,12.32
75,陈盈骏,广州,20,13.3,3.4-7.2,1.3-3.8,2.8-3.4,3.5,0.7,2.8,4.0,0.9,0.0,0.0,1.4,2.8,13.35
76,赵睿,广东,20,13.3,3.1-5.6,1.7-5.0,2.1-2.7,4.8,1.5,3.3,4.4,2.3,0.1,0.3,1.2,2.8,17.25
77,哈达迪,同曦,20,13.2,4.8-8.2,0.3-1.0,2.8-3.9,13.2,3.1,10.1,4.8,0.9,1.1,2.6,3.8,4.0,25.65
78,吴冠希,江苏,21,13.0,5.1-8.4,0.0-0.1,2.8-3.6,7.2,2.1,5.1,1.3,0.7,1.4,1.4,1.5,4.0,17.90
79,朱旭航,浙江,21,13.0,2.0-3.7,2.4-6.1,1.9-2.4,5.0,1.9,3.2,1.0,1.6,0.2,0.3,1.4,4.1,13.71
80,顾全,深圳,21,12.9,1.7-3.6,2.3-5.3,2.4-3.3,3.9,0.8,3.1,2.0,0.7,0.0,0.1,1.9,3.3,11.95
81,刘铮,广厦,22,12.8,3.9-8.0,0.9-2.5,2.4-2.9,4.6,1.4,3.3,3.3,2.5,0.1,0.4,1.3,2.8,16.05
82,李原宇,四川,20,12.7,4.0-8.6,1.1-3.6,1.7-2.5,8.1,2.4,5.7,1.6,1.4,0.1,0.7,2.4,4.0,14.05
83,任骏飞,广东,20,12.7,3.9-6.3,0.8-2.4,2.5-3.2,4.8,2.0,2.8,1.7,1.3,0.1,0.5,1.5,2.7,14.65
84,孙悦,北控,21,12.5,2.0-4.5,2.3-7.0,1.5-2.0,3.3,0.6,2.7,4.2,1.3,0.3,1.3,1.2,2.7,13.81
85,李荣培,天津,9,12.3,2.7-6.7,2.0-5.0,1.0-1.3,4.0,1.1,2.9,2.9,1.7,0.0,0.4,2.0,3.9,12.00
86,沈梓捷,深圳,22,12.2,4.8-8.4,0.0-0.0,2.7-4.8,6.4,1.9,4.5,1.4,0.9,1.7,1.1,1.7,2.6,14.50
87,普拉姆利,广厦,6,12.2,5.3-12.5,0.0-0.0,1.5-3.0,8.2,1.8,6.3,1.2,0.2,1.5,1.7,2.0,3.0,12.67
88,姜宇星,吉林,22,11.4,3.7-5.9,0.5-0.9,2.5-3.4,3.6,1.4,2.2,2.3,1.8,0.1,0.3,1.3,2.9,14.68
89,王汝恒,山东,14,11.3,1.9-3.6,1.6-4.9,2.5-2.9,1.6,0.1,1.5,3.3,2.6,0.0,0.0,1.6,2.7,11.93
90,张大宇,浙江,21,11.3,4.5-7.5,0.3-0.7,1.5-1.9,6.6,2.4,4.1,1.7,1.3,0.4,1.1,1.5,3.1,16.71
91,贺希宁,深圳,22,11.2,2.6-4.8,1.5-4.2,1.5-2.0,2.6,0.8,1.8,1.3,1.1,0.0,0.0,0.9,1.7,10.00
92,赵继伟,辽宁,20,11.2,1.4-3.1,2.5-6.1,1.0-1.4,2.8,0.7,2.2,4.4,2.8,0.0,0.1,1.6,3.1,13.95
93,李敬宇,山东,22,11.1,2.2-3.9,2.0-4.7,0.6-0.9,3.6,0.9,2.7,1.8,0.3,0.0,0.1,1.0,2.9,11.18
94,刘航初,八一,17,11.1,3.1-6.1,0.9-2.9,2.2-2.7,4.0,1.0,3.0,0.9,0.6,0.0,0.3,1.0,2.0,10.35
95,方硕,北京,21,10.9,2.8-6.1,1.4-4.3,1.0-1.2,3.1,0.4,2.8,4.4,1.0,0.0,0.1,1.9,3.0,11.14
96,李慕豪,深圳,18,10.8,4.1-7.4,0.2-0.9,2.1-2.9,6.4,1.8,4.6,0.9,0.4,1.5,1.5,1.7,3.1,13.56
97,董瀚麟,上海,18,10.8,4.2-7.3,0.0-0.0,2.3-3.8,6.6,2.2,4.3,1.2,1.1,0.9,0.6,1.9,3.2,13.72
98,罗汉琛,上海,19,10.7,2.3-5.1,1.3-3.3,2.3-2.7,1.9,0.4,1.5,2.6,0.6,0.0,0.1,1.2,1.5,9.58
99,郭昊文,八一,19,10.7,2.5-5.7,0.5-2.4,4.1-5.3,2.9,0.8,2.2,1.7,1.1,0.3,0.2,1.7,2.8,8.58
100,韩硕,八一,5,10.6,1.6-2.8,1.6-4.2,2.6-3.4,4.0,0.6,3.4,1.8,1.6,0.0,0.0,1.6,1.6,11.80
101,王子瑞,北控,21,10.5,3.7-6.9,0.7-3.0,1.2-1.8,2.5,0.7,1.8,2.8,0.9,0.0,0.1,2.3,2.5,8.43
102,宋建骅,同曦,22,10.5,1.7-3.0,1.9-4.9,1.5-1.8,4.0,1.4,2.6,1.7,1.3,0.0,0.3,1.4,2.6,11.86
103,张骋宇,青岛,17,10.2,2.8-6.2,1.2-2.9,1.0-1.2,2.1,0.5,1.5,0.7,0.7,0.0,0.1,0.6,0.9,7.88
104,贾诚,山东,21,10.1,3.1-5.9,0.6-1.6,2.0-2.7,6.4,1.8,4.6,1.0,0.6,0.4,0.8,1.8,3.3,12.71
105,姜伟泽,吉林,22,10.1,0.8-2.6,2.5-6.4,1.0-1.1,2.1,0.6,1.5,1.6,1.2,0.0,0.0,0.6,1.2,8.45
106,西热力江,新疆,20,10.1,0.7-1.4,2.5-7.4,1.3-1.4,2.5,0.7,1.8,4.4,1.3,0.0,0.2,1.4,2.9,11.35
107,罗旭东,上海,19,10.1,3.0-6.1,0.7-2.0,1.8-2.6,2.3,0.5,1.8,2.8,1.2,0.0,0.0,1.5,3.1,9.74
108,可兰白克,新疆,20,10.0,0.9-1.7,2.6-5.1,0.7-0.8,2.0,0.5,1.6,0.9,0.4,0.0,0.2,0.7,2.8,9.25
109,郑准,广州,15,9.8,1.3-1.9,2.3-4.6,0.3-0.5,3.3,0.5,2.7,0.7,0.1,0.1,0.7,0.5,1.9,11.00
110,朱彦西,北京,20,9.8,0.7-1.3,2.8-6.7,0.3-0.4,3.0,0.5,2.5,1.2,0.8,0.0,0.2,0.4,2.1,9.85
111,田雨,天津,10,9.6,2.4-4.2,0.9-3.0,2.1-2.3,2.9,1.4,1.5,1.3,0.8,0.0,0.1,1.0,1.9,9.60
112,焦海龙,青岛,19,9.5,3.1-5.0,0.9-2.3,0.7-0.8,4.1,1.6,2.5,0.5,0.7,0.1,0.5,0.8,3.2,11.11
113,陈辰,四川,20,9.4,1.5-3.3,1.9-5.0,0.8-1.1,4.4,1.1,3.3,1.6,0.6,0.1,0.1,1.0,3.0,9.85
114,胡明轩,广东,21,9.4,1.8-2.7,1.3-2.8,1.8-2.1,2.1,0.7,1.4,1.5,1.0,0.0,0.1,0.6,3.0,10.76
115,阿尔斯兰,八一,20,9.2,1.4-3.4,1.7-4.8,1.5-1.7,1.2,0.4,0.8,1.8,1.0,0.0,0.1,1.4,2.0,6.45
116,于长春,同曦,20,8.8,1.2-1.7,2.0-4.8,0.7-0.8,2.3,0.7,1.6,0.5,0.5,0.0,0.1,0.6,2.1,7.95
117,王庆明,青岛,20,8.8,1.3-2.6,1.8-4.3,1.0-1.3,2.8,0.5,2.3,1.1,0.6,0.1,0.2,0.5,2.9,8.80
118,郭凯,广州,3,8.7,3.3-5.7,0.0-0.0,2.0-2.3,4.7,2.0,2.7,1.7,2.3,0.3,1.7,1.3,3.3,15.00
119,黄荣奇,江苏,19,8.5,2.1-4.3,0.9-2.4,1.4-2.0,2.2,0.5,1.7,1.7,0.4,0.2,0.1,1.6,2.9,7.00
120,张帆,北控,22,8.5,1.6-3.5,1.6-3.8,0.4-0.7,1.3,0.2,1.0,1.6,0.6,0.0,0.0,1.5,1.6,6.09
